title,text,rating,parent_asin
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",Just received them today.  They are so precious!,5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)","I like books. Other than that, let me share my latest approach to earring guards with you--if you are using the little plastic ones, use three or four at once, because I have had one slip off and make me lose an earring. If you are looking at hook earrings, the ones with a bend in them are probably at less risk of falling out. The straight ones absolutely demand guards, and, as I say, if you are going to stick to cheap plastic ones, probably three or four at once.",5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",I am so excited to get these earrings but I’m sad it’s cracked . I definitely world purchase again,4.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",I bought these as a gift for my daughter - they are really cute and the individual book detail is really well done.  Although they are big (she likes bigger earrings) they are not heavy at all and she really likes and they look very nice being worn.,5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)","My mother loved these cat bookshelf earrings. They’re light and super comfortable, she said.",5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)","Books were too dark, not like sample picture. Back was unfinished.",1.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)","Bought this as a little "" just because "" pick-me-up for the book lover in my life and she absolutely adores them.",5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",Grand daughter loved these!,5.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",These were a gift. They arrive in good shape and on time. Very cute. I only gave a 4 due to not the one who is wearing them.,4.0,B0C2GV34B5
"Bookcase Earrings, Book Dangle Earrings for Women Book Lover, Bookshelves Earrings Acrylic (Teardrop)",A little too heavy and a little too large,4.0,B0C2GV34B5
