,gift,quality,product,order,picture,size,time,day,color,name,look,ring,price,use,print,piece,way,chain,money,purchase,item,bracelet,earring,frame,week,letter,work,necklace,nose,wear,paper,return,seller,break,month,bit,daughter,thing,smell,photo,metal,stone,scent,gold,fall,design,ear,review,star,lot,side,end,buy,think,year,wood,bag,material,part,package,place,leather,arrive,glass,company,silver,paint,friend,sign,hair,description,hand,waste,room,disappoint,wall,clasp,plastic,idea,show,husband,box,birthday,pay,issue,need,hope,wrist,jewelry,card,shipping,wish,hoop,skin,light,problem,ship,packaging,person,hour,hole,craftsmanship,tag,couple,reason,shape,edge,son,change,customer,wedding,weight,put,service,read,people,cost,child,match,pierce,start,word,one,band,refund,instruction,baby,contact,cover,option,mom,wife,take,fit,post,wire,mask,turn,dog,stick,style,number,mother,scratch,finger,thank,note,inch,touch,delivery,fade,try,home,point,heart,state,shower,guess,fact,neck,pair,type,charm,store,image,kind,font,wash,glue,line,dollar,today,family,compliment,detail,get,water,finish,see,notice,complaint,tape,job,bottle,cute,minute,cup,damage,page,half,date,sister,fix,anniversary,sticker,granddaughter,bathroom,pocket,replacement,recommend,plate,string,dainty,hold,request,oil,update,length,strap,face,hook,kid,go,catch,advertise,wallet,cut,feel,area,bar,clip,peel,collar,boyfriend,girl,top,stain,plan,house,crystal,value,book,towel,mine,message,spot,tree,poster,amazon,bend,center,care,bath,night,remove,hang,stamp,bead,pic,custom,art,sleep,board,deal,loop,sterling,base,space,mailbox,know,direction,lettering,adult,purse,customize,help,amount,wait,soap,mess,door
B081TVVM16,0.1555368048350917,0.1144470159425511,0.0119229927802067,0.2343024160820916,,0.0823666613753298,,0.1805522347291217,0.0911988744378008,,0.0740314998271965,,,,,,,,,-0.0011816211626168,,,,,,,0.1047960617717555,,,,,0.0535095216503428,,,,,,,0.2343024160820916,,,,,,,,,,,,,-0.0237234938036904,-0.0087273856431358,-0.0143493120911875,,,0.1411853692008547,,,,,-0.0138453369112201,,,,,,,,,,,,,,,,,,0.1195256124684188,0.6372245864406563,,,-0.0033278720228483,,,,,,,,0.0570438218842322,,,,,,,,,,-0.0003358890655759,,,,,,0.0077200417916014,,-0.1752942265781025,,,,-0.0644871421141325,,,,,,,,,-0.0110493104581562,,,,,,,,,,0.0453112109215929,,,,,,,,,,,0.1026087225801831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096696513131362,,,0.0111018856967573,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0435851924219907,,,,,,,,,,,0.0177285212459288,,,-0.0402255683981687,,,,,,0.0861950418933986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0645143295188932,,,0.0861950418933986,,-0.0514613805435624,0.1550611844537629,,,
B01CCWR3OO,0.0459577950164149,0.4920647715158168,0.0066737687915118,0.0024551423335287,0.0030373526648907,,,,,,0.0994641355546293,,,,,,-0.1383381822258395,,,0.1620141058919032,,,,,,,,,,,,,,,0.3145801043606824,,0.4437845263698101,,,,,,,,,,,,,,0.0082563805555941,,,,,,,,,,,,,,,,,,0.2192455469545224,,,,,0.0976154631999681,0.4239768524312731,0.1221636956691463,,,,,,,,,,,,,,,,0.0488831043050645,,,,,-0.1436960221102226,,,,,0.2913462379663238,,,,,,,,,,,0.0136691025817333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031754297654776,,,,,,0.3373284049428747,0.0751850877345362,,,,,,,,,,,,,,,,,,,,,,,,,0.0004110609831924,0.293139206119638,,,,,,,,,0.0679920208474157,,,,,,,,,,,,0.0525245161944441,,,,,,,,,,,,,,,,,,0.0736133266893493,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1549369127025571,,,,,,,,,,,,,,,,,,,,,,,,,
B07PC4ZTGB,0.1917342193579254,0.2399389600561033,0.0665588320166722,0.0107935579527317,0.1270641024766267,9.164838994296624e-05,0.0,0.0002491261529894,,,0.1355625269473485,,0.0605948955147598,0.1000705974584769,,,,,,,0.0069048785220827,,,,,,,,,,,,,0.0,,,,,,0.2947152979589351,,,,,0.0010919078942093,,,,,,0.000178274374493,,0.0139101691598657,0.0903904616216002,0.0127752606134484,,,,,,0.002810477375902,,-0.1753681296064265,0.1161528957388959,0.1672826481666978,,,0.3062363815241291,,,0.0006771950946652,0.1789676887414467,,,,,,,0.2216157646293074,0.1465623486392855,,,0.0862278518703721,,,0.0774037293854923,0.2571055956855779,,,,0.0187694058142947,,,,,,,,0.1773531955945342,,,0.1632545469938801,,0.0109657781629307,,,,,,,,,0.1678297197591836,,,,,,,,0.1379413439891136,,0.0797542052197941,,0.01486404036166,,,,,,,,0.0317621287015795,,,,,,,,,,,,,,,0.0136018270781004,3.2652090663290293e-06,,,,,,,,,,,,,,,,,,,0.2566960754737231,0.0502523426644218,,,,0.0775781075668405,,,0.036258063096672,0.0582531683316949,,0.0719210187898744,,,,,,-0.0319389422203705,,0.0,,,,,,,,,,,,,,,,,0.0009204334622701,-0.0123803426573154,,,,,0.0097334510456345,,,,0.0,,,,,,,,,,,,,,0.0863384172826811,,,,,,,,,,,0.1342758574685573,,,,,,,,,,,,,,,,,,,,,,,,0.0186683308588057,,,,,,,,
B079T97FNX,0.11466826629298,0.0090140869901548,0.0,,,,,,,,0.0003139707616,,-0.0122121014564433,,,,0.069872514371505,,,,-0.0372739571248911,,,,,,,,,,,-0.0377812186083071,,,,0.03600078228721,,-0.0245838004125625,,,,0.0022575265764744,,,,,,,,-0.0659467711043511,,,,,,,,,,,,,,,,,,0.0634039950811521,,,,,,,,,,-0.0911820915434699,,-0.0110780433054091,,,-0.1058738022934982,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4737147704570136,,,,,,,,,,,,,,,,,,,,,0.00032344701385,,,,,,,,,,,,,,,,,,0.132586822367423,,,,,0.0376669885910635,,,,,,,,,0.0245894223748536,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
B01DJJ6IQI,,0.0317093838434925,0.1149832312461285,0.0056119765525476,,,,,0.2973688621649632,0.3064035377984823,0.1625292593494639,,,,,,,,0.1549765288093378,0.0005807776238616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2289330054861698,,0.139627525059015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186787726701524,,,,,,,,,-0.0820551326955541,,,,,,,,,0.1635044287475704,,,,,,,,,,,,,,,0.153547054541225,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08YXLLM7R,-0.0004557893800561,0.0931342541189703,0.088638692165346,0.184990427086252,0.0742900719146017,0.2340540330783789,0.0343331032887965,-0.0724773880926076,0.0044445132169436,,0.1158626387449738,0.0499584396757925,0.0179433718361752,0.0180700122733494,,0.0430321552668601,0.0737907479793833,,-0.0895587244958242,0.0372737851961909,-0.0584294971932498,,,,-0.0016191061629049,,0.0648752633557909,,0.0260003299632254,-0.0037005707238098,,-0.0011515018851598,0.0667019691573813,0.0383732040466467,0.01609633318422,-0.0584556788614935,0.1499619997533166,0.0333949116993309,,,0.0363012625368489,0.1209919471266241,,-0.0067931594310156,0.0224351291364628,-0.1157063624232217,0.0493405583069521,0.029293871799335,,0.2018764379766442,0.0001176176454958,0.0290653944030569,0.0098846832500365,0.0434824426250061,0.0764996607566511,,,0.0049246746236167,0.0339536209851423,0.0001793278856965,0.025556596371319,,-0.0329414146589606,,,-0.0308736314689102,,,,,0.0494678218522323,-0.0457903402177869,-0.0313421948766156,-0.0062230013853858,,,,,,0.0806756441253402,,,,0.0003075246509903,0.0030945512880112,,0.0,,-0.0615113587143324,1.9482918792761285e-07,,0.0412768345971715,-0.0035155756079614,-0.0301867971692001,0.1661401871586351,,,,0.0010916424586038,-0.0033050643143019,-0.0297154899219187,,,0.0246657936295644,-0.0469718979534133,-0.0272841329775157,0.1051277237214663,,-0.0012996744980128,-0.0035488255229227,,0.0070863157286545,-0.0229730882312728,,0.0115955985775809,0.0084043854220066,0.0411811783727897,,,0.0058864392286659,-0.0313315071037761,,0.0560362059397462,,,0.0007373867893852,,,,,,,-0.0671927827906803,0.0809733604620654,,0.039911125743967,,0.0096841147088872,,,0.2208510177158677,,,-0.0001571349272077,,,,,,,,-0.0709014229125173,,-1.8266843526065787e-05,,0.0002178064607717,,0.0360890815236888,,,0.0,,,-0.0377819311378413,,-0.1437417011477435,,0.0051347835812061,,0.1103493457333096,0.057415611967228,,,0.0620918279489579,,-0.0095129491219471,,,0.0451108159403897,-0.0395443647933469,0.1687903675801995,,0.0,,0.0423148638769075,-0.0310459139744789,,0.0,,0.0314426265632376,,,,,,,,,,0.0239621977338094,,,0.1537259511821696,0.0299171637073917,,,-3.345689096604328e-07,,,0.0010273630184124,,,0.0352194192363591,0.0025145664267588,,,-0.0246600574303654,0.0494753349547522,,,,0.0015787172613188,,,,0.1174494399625798,,,,,,,,0.0005807776238616,,-0.1250972562300619,,,,0.0435717118659021,0.0090493552226804,,,0.0487115943363573,-0.1737988801132571,,,0.0454240546027608,-0.0102039213788072,,,-0.0157114327854091,,,,,-3.2499971884955925e-05,,,-0.0749175057771839,,,,,,0.0002732943787182,,,,-0.0093251291071826,
B092SXJCZC,,0.0506886867420443,0.1851085985534719,0.0322916340677774,,0.0320932566090075,-0.0718236428393738,-0.0069180637949603,0.0568209338249272,0.0838982126660243,0.1629977130863701,-7.148931416621605e-05,0.0249054673570867,0.0145149496231847,,0.1430690908204027,-0.0007673664348865,,,0.117047452101325,0.1072668281607771,,,,-0.0369637941131217,,0.1115637720860001,,,,,,,,-0.0173367194191164,,,-2.7836246645562097e-06,,,,,,,0.0148433206779358,0.0292130020141656,,,0.0108224590543517,-0.0216170205649699,0.0305376892650146,0.0216499031004344,0.033507491494046,,,0.0452990371096236,0.1926851171470236,,,0.1147834745996483,,,0.1005795498413219,,,,0.0125496830852159,,,,,,,,0.1301700732521925,,,0.1328780541486005,,,-0.0269471468673047,0.0034417011216587,,,-0.0003843583660573,0.0094025949416876,0.0064219818523844,,,,,,,,0.0246881411585697,0.0116354020077059,0.2248109924661363,,,,0.0717101722775372,0.1806741318300783,,,0.0322406904363892,,,,,,,,0.0390815184395826,,,,,,,,-0.0273421100851776,0.3009845931479688,-0.0024035949561884,,-0.0010447940424648,0.1027119807666835,,-5.201723242253542e-05,-0.0700066941002667,,,,0.0356050973032891,-0.0514620148096271,,,,,0.0839142597958031,,,,,,,,,,,,,-0.0032407218752029,,,,,,,,0.0230081993191852,,,,,,0.303559417730628,-0.0414758912670114,2.2447802091595582e-05,,0.0104727514960764,,,,,,-0.0103056432639258,-0.0052826953264552,,,,0.0219275175915951,,,,0.153350404786361,,-0.014747514763021,0.0095397987496895,,,,,-0.0245500025960935,,0.1247864091275297,,,,0.0010235886764143,-0.0012263280926597,-0.0128359895627669,,,-0.024636899063682,0.0202427091962567,,,,,,,,-0.0008813325176175,,0.0291178753483206,,0.1295501821305484,0.2794063685379794,5.183294194169633e-05,,,,,,,0.0006155099458039,0.2768960715236022,,,,,,,,,,,,,0.1219349713454753,0.2349684747378486,0.1138818773202688,,,,,,,,,,,,,,,,,,-0.070157153069141,,,,,0.0697738480578947,-0.0022704836745553,0.1811526735388399,,,,
B07Y7D1PFQ,,-0.2095841550504516,0.003641643586335,0.0249241544736436,0.0445918176344009,0.1087345477781436,-0.0803576956148356,-0.0805176109033284,,,0.0920100715947021,0.0138720383438404,0.2026432793088982,0.0066092605849536,,0.0621971138673913,-0.0015067481733791,0.2632945836393519,0.0377074161664049,0.0442764122098848,-2.441780976857481e-07,,-0.1562152445364175,,,,-0.0278125307825005,,0.0334766867202545,-0.0033212552667467,,-0.0723742665591257,,-0.0334429678758738,-0.0031486593010949,-0.0085269469482081,,-0.0069998970082632,,0.0270968525423454,-0.0333553825861059,,,0.0760439208274259,0.0593335141879511,-0.1183234912912125,0.0006909850894392,,-0.0225779009246534,0.0576141693633241,0.0002902441943401,0.0727272174163194,0.0631048225765235,0.0350737411545541,-0.0061688745371867,,,0.0198666181639141,-0.1001192702195092,,-0.0020588697310498,,0.0739253737034013,,,,,,,,,,0.0702818555385582,,,,-7.747814519074852e-05,,,-0.0008187318062496,,,,0.0920499358350554,-0.0498742346269098,0.0151244771619695,,,0.1151799011859245,,,-0.2296080851137773,0.0083604809430507,-0.0299923535841726,0.1759988606956134,0.1277249852668635,,0.0,,-0.0033166746714285,0.0085992860084972,,,0.0,,0.0253011320676239,0.0694592607133196,,-0.0083059455749856,,,,-0.0318627151754895,,,,0.036417881588831,,,0.0217738226840373,0.0123397439836106,,0.0081542814399155,,,0.0152345338662518,,,,,,,-0.0305677625771679,0.1600274780841703,4.034475218860893e-06,-0.0326086292944265,,0.0293857219456415,,-0.0183779765329356,0.0401125989656437,0.0116652304082348,,0.0129144188395696,0.0073656728183088,,,,,,,0.001146801140456,,,,,,,0.1134895320085596,,,,,,,-0.0130871532123288,,,,,0.0626463879259783,,,,,-0.0026303436195418,,,,,,,0.0360121960960957,,0.0913721480749938,0.0179767560919736,,,,,,-0.0632253792345236,,,,,,,0.2254655722467553,0.0055437748283169,0.0050049187896833,,0.1368525169664708,,,,-0.0030555866165261,,,0.003689821403034,0.058605448237602,,0.0478421659194126,-0.011498776289167,,,0.0076374725619076,0.0294794023789254,0.0023105862555382,,,,,,,,,,,,,,,,,,,,,0.0274890925449218,,0.0758342322668927,,,-0.0138086499010075,,,-0.0003720769652133,0.0541124078816024,,,,,,0.0096682064885909,,,,,0.0488751426042978,-1.6398454630209528e-05,,,,,,,,,,
B093W2H281,-0.0340068099241833,,,0.0128202434498169,,,0.2205529530109406,0.1666310695306903,0.3388400988770522,,0.0335297793902581,,,,,0.0192913525486519,-0.1450106383878217,,,0.0,,,,,,,,0.0629855874455697,,0.055007511346288,,-0.0131157980673831,,0.0087197112184208,,-0.0016447465607314,0.2723030108883295,0.2704219407515076,,,0.0152439041218243,-0.0019476014516874,,,-0.0644357298146704,,,,,,,-0.0322152311266639,,-0.0121531246057679,,,,,,0.1738810326161564,,,0.2979552536221539,,,,,,,,,-0.001008839060316,,,,,,,,,,0.0888824085964187,0.0,0.0128998805106861,0.0044908667246769,,,,,,,,,,0.2524085587198502,,,,0.2113983106662029,0.0028268840780836,,,,,,,,,,,,,,,,,,,,,,,-0.0184369533222846,,,,,,,,,0.1330700472171765,,,,-0.0095925054530016,,,,-0.0712737975383713,,,,,,0.0116985021477232,,,,,,,,,,0.2356733193912653,,,,-0.1463971199447322,,,,,,,,,,,,,,,,0.0221519765406539,,,-0.0759195191815493,,,,,,,,,,,,,,-0.0013378846505878,,,,,,,,,,,-0.0060968394575397,,,,,,,0.0072818615503769,,-0.0712841951182521,0.0234644792658211,,,0.1328875377284633,0.3552051565670843,,,,,,,,,,,,,,,,,,-0.0065291351436546,,,,,,,,,,,,,,,,0.1847756372504234,,,,,,,,,,,,,,,,,,,
B01ASDYQQC,0.1473139291242982,0.1953490846912067,0.2089703509563406,0.1711139785736884,0.1333370087121493,,-0.0032390546118536,0.0885838650283651,,,0.2319905888691473,,0.1151140688411674,0.0357203099307293,,0.1737323470915792,,,,0.1443855884844224,0.1735027122852221,,,,-6.074306669669457e-06,,0.2955494039533968,,,,,0.0503265309409244,0.0095720327055877,0.0485874617746311,3.2110592457852664e-06,,,0.1197064467896858,,,,,,,0.0263319885447628,0.1287244685889877,,0.0051483916871035,0.0012540349585709,,0.0012242843816765,,0.0692803594382322,0.1229380802681138,0.0317093838434925,,,,,0.1447267841137526,0.0003794969582476,,0.1576229497471801,0.1502247839901753,,,,0.170638846516696,,,0.3775632565165856,0.2189368274601519,,,,,,,0.2350596803793305,0.2374317732340573,0.184480736921106,-0.0023905753774669,0.1412729258321693,,0.1284395705208487,0.0158422451546543,,,,,0.1088829286232935,0.0165851114469414,,,,0.043133649467057,0.2534955076606306,,0.2042014458973843,,,0.3047581032312687,,0.1395021907514615,,0.000119341222496,,0.1812057728606832,,,0.0883390566285076,,0.1747314261362274,,0.0130114383238703,0.0236539549116218,,,,,,,0.072515316747018,,,,,,,,,,0.1040886642664488,,,,,,,,0.4415094895450296,,,,,0.0163478389789417,,,,,,,,,,,,,0.2792719278770246,,,0.1126483811087569,,,,,,,0.2702908653342843,,,,-0.0638905212463644,0.1826732691969386,0.0620918279489579,0.0909502030636064,0.0488870175539123,0.0942802375001343,0.062179296056742,,0.2065635570724872,,,,0.3656772899863488,,0.264312518745634,,,,,,,0.209171818403459,,,,,0.1922594163380432,0.1192243710653095,,,,0.2323760185909502,,,,,,0.0,,,-0.1087397439209251,,0.0128971780384319,,0.086192606523905,0.1502062075147406,0.0893533063235975,,,,,0.2465020337006507,,,,0.2382501792288558,0.0,,,,,0.0058485047566562,,,,,0.0962297460167111,,,,,,,,,,,,,,,,,,,,,0.0976941493082145,,,0.1715004303739518,,,,,0.1365652102939695,,,
